"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Amar'e Stoudemire",208.28,3,8.7,5.3,0.7,-2.3,"2005-06"
"Alvin Williams",195.58,1,1,3,0,-24.3,"2005-06"
"Alonzo Mourning",208.28,65,7.8,5.5,0.2,10.5,"2005-06"
"Allen Iverson",182.88,72,33,3.2,7.4,0.8,"2005-06"
"Alex Scales",193.04,1,0,0,0,0,"2005-06"
"Alex Acker",195.58,5,1.8,1,0.8,-44.4,"2005-06"
"Andray Blatche",210.82,29,2.2,1.3,0.3,-2.6,"2005-06"
"Alan Henderson",205.74,51,2.5,2.7,0.2,-3.4,"2005-06"
"Al Jefferson",208.28,59,7.9,5.1,0.5,-4.1,"2005-06"
"Al Harrington",205.74,76,18.6,6.9,3.1,-5.8,"2005-06"
"Adrian Griffin",195.58,52,4.6,4.4,1.7,9.1,"2005-06"
"Adonal Foyle",208.28,77,4.5,5.5,0.4,-0.3,"2005-06"
"Aaron Williams",205.74,48,4.6,3.8,0.4,-3.2,"2005-06"
"Aaron Miles",185.42,19,0.8,0.7,1.3,-3.9,"2005-06"
"Aaron McKie",195.58,14,0.5,1.4,0.8,-6.2,"2005-06"
"Jon Barry",195.58,20,4.3,1.6,1.3,-8.4,"2005-06"
"Alan Anderson",198.12,36,5.8,1.9,0.9,-0.3,"2005-06"
"Andre Barrett",177.8,19,4.6,1.3,2.7,-4.7,"2005-06"
"Andre Iguodala",198.12,82,12.3,5.9,3.1,1.2,"2005-06"
"Andre Miller",187.96,82,13.7,4.3,8.2,3.1,"2005-06"
"Antonio McDyess",205.74,82,7.8,5.3,1.1,3.8,"2005-06"
"Antonio Davis",205.74,44,4.9,4.7,0.5,-11.5,"2005-06"
"Antonio Daniels",193.04,80,9.6,2.2,3.6,1.9,"2005-06"
"Antonio Burks",182.88,57,2,0.6,1.3,-1.1,"2005-06"
"Antoine Wright",200.66,39,1.8,0.8,0.3,-6.4,"2005-06"
"Antoine Walker",205.74,82,12.2,5.1,2,3.3,"2005-06"
"Anthony Roberson",187.96,16,2.2,0.4,0.3,4.9,"2005-06"
"Anthony Johnson",190.5,75,9.2,2.2,4.3,4,"2005-06"
"Anthony Grundy",190.5,12,4.3,1.4,0.8,10.7,"2005-06"
"Hakim Warrick",205.74,68,4.1,2.1,0.4,-5,"2005-06"
"Anthony Carter",187.96,45,3.3,1.4,2.2,-3.3,"2005-06"
"Antawn Jamison",205.74,82,20.5,9.3,1.9,2.5,"2005-06"
"Anfernee Hardaway",200.66,4,2.5,2.5,2,5.2,"2005-06"
"Andris Biedrins",210.82,68,3.8,4.2,0.4,1.3,"2005-06"
"Andrew Bynum",213.36,46,1.6,1.7,0.2,-4,"2005-06"
"Andrew Bogut",213.36,82,9.4,7,2.3,0.8,"2005-06"
